,T,Max Estoque,Min Estoque,Qtd inicial estoque,Preço da unid,Custo por unidade,Lucro Total,% lucro total,Lucro/unid tempo,Sim. nsamples,Sim. Tol,Sim. Alpha,Sim. Lucro medio/unid tempo,Sim. N cenários,Sim. Intev inicial média,Sim. Intev final média,Sim. Lucro max/unid tempo,Sim. Melhor estoque
0,24.0,60,1,5,50,10,-1238.9570244728166,-118.86%,-51.62320935303402,30,0.2,0.1,-52.89175350774083,4244,-53.03315720110065,-52.75034981438101,21.373329366857906,"(5,15)"
1,24.0,45,1,2,50,10,-129.31940445213831,-8.54%,-5.3883085188390965,30,0.2,0.1,-29.694627613270114,6592,-29.83603109866501,-29.553224127875218,20.159772987540137,"(5,15)"
2,24.0,30,1,2,50,10,123.3987453980236,10.58%,5.141614391584317,30,0.2,0.1,2.5751732809975234,6475,2.4337651321076383,2.7165814298874085,19.84627176861101,"(5,15)"
3,24.0,20,1,2,50,10,311.1940659163277,29.12%,12.96641941318032,30,0.2,0.1,13.429833892097507,1514,13.288455729881571,13.571212054313444,20.098316422202096,"(5,15)"
4,24.0,20,1,3,50,7,525.849643449666,46.64%,21.91040181040275,30,0.2,0.1,19.472233202120243,1088,19.330840695406838,19.61362570883365,24.805248501737893,"(5,15)"
5,24.0,20,1,3,50,7,365.9433146341648,34.01%,15.247638109756865,100,0.1,0.05,19.5195815826433,6198,19.448870909799485,19.590292255487118,24.838021483921306,"(5,15)"
6,17.0,20,1,3,50,7,437.88676422058563,59.66%,25.758044954152098,100,0.3,0.2,28.281482204631306,1308,28.069360200026512,28.4936042092361,32.595629079019844,"(5,15)"
7,17.0,20,1,3,40,7,329.1287810156076,53.48%,19.36051653032986,100,0.3,0.2,19.16513451797962,1308,18.953041580317375,19.377227455641865,22.40788326534138,"(5,15)"
8,120.0,20,1,3,50,10,2518.5978881895207,42.2%,20.98831573491267,100,0.3,0.2,18.867353592112575,100,18.66550710903761,19.069200075187542,23.30794231383704,"(5,15)"
9,120.0,20,1,3,50,10,2221.0857293473605,39.67%,18.509047744561336,100,0.1,0.1,18.90732627058458,1626,18.83662429118465,18.97802824998451,23.362480690472566,"(5,15)"
10,240.0,20,1,3,50,10,4794.864837821023,41.49%,19.97860349092093,100,0.2,0.1,19.01452042816049,207,18.87323496435483,19.155805891966153,23.495720357971017,"(5,15)"
11,240.0,20,1,3,50,7,5716.612825451582,48.39%,23.819220106048256,100,0.1,0.1,22.086643926957336,808,22.015960885594748,22.157326968319925,26.767705624186164,"(5,15)"
